symbol,name,sector,sub_industry,price,market_cap,price_to_earnings,price_to_sales,price_to_book,dividend_yield,eps,ebitda,revenue,book_equity,net_income,shares_outstanding,ebitda_margin,net_margin,roe,payout_ratio,retention_ratio,earnings_yield,sustainable_growth,range_position,in_base,in_margin,in_returns,in_core,fail_reasons,priced_in_growth,growth_gap,in_screen
MMM,3M,Industrials,Industrial Conglomerates,168.75,87028162560.0,30.187834,3.4562416,29.481133,0.0183,5.59,6488000000.0,25179999731.50025,2951995181.460631,2882888466.432,515722444.8,0.257664816091459,0.11449120322370371,0.9765898739207325,0.5524373622,0.44756263780000005,0.03312592748456216,0.4370851400207325,0.6455223880597014,True,True,True,True,,0.07509333263194702,0.3619918073887855,False
AOS,A. O. Smith,Industrials,Building Products,59.26,8053941760.0,16.506964,2.1167288,4.372786,0.0246,3.59,783699968.0,3804900164.8203583,1841833046.4834092,487911760.3509956,135908568.34289572,0.20597123026932326,0.12823247370907864,0.26490552714599724,0.4060713144,0.5939286856,0.060580491966905604,0.15733499154599725,0.18404907975460122,True,True,True,True,,0.06273877861489248,0.09459621293110478,True
ABT,Abbott Laboratories,Health Care,Health Care Equipment,110.47,191155453952.0,35.181526,4.103369,3.7400548,0.0231,3.14,11681000448.0,46585002214.521774,51110335054.98369,5433403869.007695,1730383397.7731512,0.2507459459636716,0.11663418720014486,0.10630735005639039,0.8126932506,0.18730674940000003,0.02842400866864047,0.019912084176390392,0.5133285302593659,True,True,True,True,,0.07720919609911178,-0.05729711192272139,True
ACN,Accenture,Information Technology,IT Consulting & Other Services,187.68,114849284096.0,15.0144,1.571113,3.6008518,0.0347,12.5,12943767552.0,73100587988.26056,31895032196.548607,7649275635.123615,611942050.8098892,0.17706789929075095,0.10464041187127024,0.23982655317561807,0.5209996800000001,0.4790003199999999,0.06660272804774084,0.11487699571561806,0.40204695270035856,True,True,True,True,,0.060028772378516615,0.054848223337101445,True
ADBE,Adobe Inc.,Information Technology,Application Software,279.79,111216525312.0,16.361988,4.4137044,9.692383,0.0,17.1,9729000448.0,25198000417.06463,11474631709.456799,6797250019.068587,397500001.115122,0.3861020829816048,0.2697535481611209,0.5923719660471576,0.0,1.0,0.061117267657206445,0.5923719660471576,0.4961270333075136,True,True,True,True,,0.0624972295542571,0.5298747364929005,False
AMD,Advanced Micro Devices,Information Technology,Semiconductors,457.06,746139025408.0,117.49614,18.064133,11.096112,0.0,3.89,9562000384.0,41305000655.60854,67243285342.469505,6350327766.2388315,1632475004.1745067,0.23149740303179578,0.15374234754736799,0.0944380981366707,0.0,1.0,0.008510917890579214,0.0944380981366707,0.7068494408853988,True,True,True,True,,0.08617008694923935,0.008268011187431354,False
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,14.8,10558892032.0,5.5430713,0.80886257,2.1356423,0.0477,2.67,4070000128.0,13054000053.433058,4944129469.621387,1904881197.6648648,713438650.8108108,0.3117818378535731,0.1459231798581081,0.3852814052743648,0.26440450101,0.73559549899,0.18040540088308082,0.28341126756436474,0.4642857142857145,True,True,True,True,,0.008817569602613623,0.27459369796175115,True
AFL,Aflac,Financials,Life & Health Insurance,117.24,58777485312.0,12.647248,3.2529461,1.9426033,0.021,9.27,6064999936.0,18069000685.87057,30257070659.768776,4647452139.561924,501343272.8761515,0.3356577400953143,0.257205820087001,0.1535988936091077,0.265592208,0.7344077920000001,0.07906858472293736,0.1128042243091077,0.4921752738654146,True,True,True,True,,0.054419136874678184,0.05838508743442952,True
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,151.39,42686803968.0,29.56836,5.790396,5.7974954,0.0068,5.12,2099000064.0,7372000804.090082,7362973322.583404,1443664946.9328227,281965809.9478169,0.28472596785874565,0.19583081788757517,0.19607091499156531,0.201064848,0.798935152,0.033819934551662656,0.1566479462715653,0.7768953068592056,True,True,True,True,,0.0747810294517518,0.0818669168198135,True
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",183.26,109733453824.0,41.84018,8.339042,13.863379,0.0,4.38,2760999936.0,13159000017.508007,7915346887.941244,2622681041.9574375,598785626.0176798,0.20981837011372434,0.19930701713412638,0.3313412848606292,0.0,1.0,0.023900470791473654,0.3313412848606292,0.8766622702467237,True,True,True,True,,0.07924478814383686,0.25209649671679235,True
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,105.09,15103177728.0,38.63603,3.493814,3.1778045,0.0,2.72,1079897984.0,4322833936.780836,4752708270.128008,390909158.05652297,143716602.22666284,0.24981250721007048,0.09042890931582452,0.08224976789799573,0.0,1.0,0.025882576444836596,0.08224976789799573,0.3621473105780409,True,True,True,True,,0.07835284059982353,0.0038969272981722036,True
ALGN,Align Technology,Health Care,Health Care Supplies,159.15,11305992192.0,26.883444,2.7312248,2.678977,0.0,5.92,910062016.0,4139531902.317231,4220264747.327058,420555914.399246,71039850.40527804,0.21984660040681522,0.1015950412566761,0.09965155506117446,0.0,1.0,0.037197615007958054,0.09965155506117446,0.47361040285568595,True,True,True,True,,0.07326107324641887,0.02639048181475559,True
ALLE,Allegion,Industrials,Building Products,155.07,13186654208.0,20.350395,3.0748873,6.225961,0.014,7.62,1049299968.0,4288500007.138473,2118011052.109064,647980299.6386149,85036784.72947702,0.24467761834053292,0.15109718982395048,0.30593809112796094,0.28490553,0.7150944699999999,0.04913909533451317,0.2187746371279609,0.5174668731715709,True,True,True,True,,0.06788740709946907,0.15088723002849186,True
LNT,Alliant Energy,Utilities,Electric Utilities,67.74,17563944960.0,21.436708,3.9656682,2.3328052,0.0315,3.16,1828999936.0,4429000126.636918,7529109142.932294,819339623.1709479,259284690.87688223,0.4129600098676941,0.18499426501328614,0.10882292187774355,0.675256302,0.324743698,0.046648953747935554,0.03533955807774355,0.28718609143593005,True,True,True,True,,0.06900797081342899,-0.033668412735685445,True
ALL,Allstate,Financials,Property & Casualty Insurance,259.34,65576181760.0,5.16305,0.93497264,2.0781946,0.0168,50.23,17116000256.0,70137006105.33374,31554399073.118565,12701055023.539755,252857953.88293362,0.24403665349351678,0.1810892099452456,0.4025129719836143,0.08673924,0.91326076,0.1936839658728852,0.3675993027036143,0.7994166479694856,True,True,True,True,,0.0028422153572016523,0.36475708734641266,False
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,337.12,4122955743232.0,16.805584,9.247074,6.623703,0.0026,20.06,173164003328.0,445865983470.2307,622454802582.7849,245332499434.13,12229935166.207878,0.3883767987417271,0.5502382072852395,0.39413703207219697,0.0436945184,0.9563054816,0.05950403151714335,0.37691540427219694,0.6110869328691111,True,True,True,True,,0.06322318581728549,0.31369221845491146,True
AMZN,Amazon,Consumer Discretionary,Broadline Retail,254.98,2750293999616.0,20.496784,3.5456553,4.9843616,0.0,12.44,168911994880.0,775680027219.7921,551784605598.4381,134181729371.80579,10786312650.466703,0.217759886747913,0.172985928041415,0.24317773949318094,0.0,1.0,0.04878814159333483,0.24317773949318094,0.6467105263157894,True,True,True,True,,0.06804533628299932,0.17513240321018164,True
AMTM,Amentum,Industrials,Diversified Support Services,19.9,4865677824.0,23.975904,0.34435087,1.0355415,0.0,0.83,1006000000.0,14130000089.734056,4698679699.461587,202940331.3527638,244506423.31658292,0.0711960363489944,0.014362372969849244,0.04319092618989465,0.0,1.0,0.041708542042877716,0.04319092618989465,0.0054614964500271914,True,True,True,True,,0.07123115608070502,-0.028040229890810363,True
AEE,Ameren,Utilities,Multi-Utilities,105.89,29314932736.0,18.642607,3.485309,2.141485,0.0283,5.68,3910000128.0,8410999637.6218,13689067509.695375,1572469713.2919066,276843259.3823779,0.46486747074757306,0.18695396279157617,0.1148704684918799,0.5275857781000001,0.47241422189999993,0.05364056647227504,0.0542664429918799,0.42850574712643713,True,True,True,True,,0.06586174508747622,-0.011595302095596317,True
AEP,American Electric Power,Utilities,Electric Utilities,123.57,67271184384.0,21.415945,2.9516556,2.0969303,0.0309,5.77,9029000192.0,22791000543.55935,32080791805.049507,3141172889.0157804,544397381.1119204,0.3961651518871804,0.13782514212187424,0.09791444178624852,0.6617527005,0.3382472995,0.046694180434251206,0.033119295516248516,0.5123279816513757,True,True,True,True,,0.06898761880458695,-0.03586832328833844,True
AIG,American International Group,Financials,Multi-line Insurance,76.13,39807856640.0,13.892335,1.4887564,0.9837696,0.0264,5.48,8145999872.0,26738999503.209526,40464613502.99908,2865454543.375805,522893164.8495994,0.3046486414356013,0.10716386538815185,0.07081384086980338,0.366757644,0.633242356,0.07198213979147494,0.044842323429803384,0.30423940149625894,True,True,True,True,,0.05760803709383627,-0.01276571366403289,True
AMT,American Tower,Real Estate,Telecom Tower REITs,172.92,80573816832.0,24.218487,7.3640556,21.66103,0.0397,7.14,7044400128.0,10941500337.395605,3719759255.7694626,3326954962.8757806,465960078.834143,0.643823964792453,0.3040675282442748,0.8944006287428278,0.9614739339,0.03852606609999998,0.04129077097177871,0.034457737742827725,0.3008890968647633,True,True,True,True,,0.07141915306269958,-0.036961415319871856,False
AWK,American Water Works,Utilities,Water Utilities,139.49,27720708096.0,24.175045,5.24616,2.3764012,0.0261,5.77,2912999936.0,5283999743.812617,11664994991.586437,1146666325.284393,198728999.1827371,0.5512869184770539,0.21700726360312567,0.09829976324759686,0.6309686745,0.36903132549999995,0.041364969537802304,0.036275691927596845,0.7546868767451145,True,True,True,True,,0.07138576370798896,-0.03511007178039212,True
AME,Ametek,Industrials,Electrical Components & Equipment,233.19,53461430272.0,34.042336,6.7983155,4.7475467,0.0059,6.85,2500681984.0,7863923095.655092,11260854005.290775,1570439544.4195719,229261247.36052147,0.3179942064008301,0.1997017932801578,0.13946007406777255,0.20084978239999998,0.7991502176,0.0293751874136957,0.11144954853777256,0.6585693359374998,True,True,True,True,,0.07678116566383693,0.03466838287393563,True
AMGN,Amgen,Health Care,Biotechnology,442.84,239413477376.0,27.251692,6.284643,20.482885,0.023,16.25,17268000768.0,38095000364.5394,11688464656.028679,8785270091.590643,540632005.6363473,0.45328784887147183,0.23061477903983385,0.7516188352635133,0.626788916,0.373211084,0.03669496925181747,0.2805124802635132,0.9763624055060364,True,True,True,True,,0.07348726383668214,0.20702521642683108,False
APH,Amphenol,Information Technology,Electronic Components,160.08,197375983616.0,40.02,6.803347,12.73711,0.0061,4.0,9463700480.0,29011600263.22338,15496135592.453861,4931933623.588205,1232983405.8970513,0.3262040147436017,0.1699986756621689,0.31826861569215387,0.24412200000000003,0.7558779999999999,0.02498750624687656,0.24057224469215385,0.9792744626446709,True,True,True,True,,0.07875562218890554,0.1618166225032483,True
ADI,Analog Devices,Information Technology,Semiconductors,355.71,172364775424.0,41.996456,12.416651,5.1374226,0.0124,8.47,6922700800.0,13881744395.006351,33550826716.88329,4104269342.557927,484565447.7636277,0.4986909860183197,0.2956594809535858,0.12232990802842982,0.5207560544000001,0.47924394559999994,0.023811533049360165,0.05862586778842981,0.5944973925552957,True,True,True,True,,0.07928481012778792,-0.020658942339358104,True
AON,Aon,Financials,Insurance Brokers,330.88,70188064768.0,17.982609,3.9931765,7.308389,0.0101,18.4,5900000256.0,17577000357.484825,9603766954.386253,3903108050.444874,212125437.52417794,0.3356659348014179,0.22205768737911022,0.4064142750365089,0.18162435089999998,0.8183756491,0.05560928339152567,0.33259954613650894,0.3381350482315115,True,True,True,True,,0.06497582247381345,0.2676237236626955,False
