sector,n,median,q1,q3,p10,p90,market_cap,iqr
Real Estate,31,0.6024986304601219,0.46675369326241134,0.6412770973175792,0.26173772150598806,0.6998460743681726,1232550880256.0,0.17452340405516786
Utilities,31,0.4006237043855359,0.34755799200936555,0.4600548248491646,0.3117818378535731,0.5065695299558207,1345687724032.0,0.11249683283979905
Energy,19,0.3283875293250142,0.18657981862670653,0.5565893134881397,0.10079873508346855,0.6788335335167168,2340785377280.0,0.37000949486143314
Information Technology,67,0.29402808283401627,0.21984367226050017,0.3866418660986476,0.13757042157072627,0.4931072075384796,24573455622656.0,0.16679819383814742
Financials,41,0.2893614892736466,0.20268924063170585,0.4391397822658452,0.16917346577423883,0.5972568440218498,3135341078528.0,0.23645054163413937
Communication Services,17,0.2727935193923292,0.21204520388700673,0.3677741936713677,0.13477693486426673,0.3934422799335854,7151652993024.0,0.15572898978436098
Health Care,60,0.27212110778071796,0.16361119344733976,0.32325302705501197,0.025459611645009542,0.4073795520149766,6380209833984.0,0.1596418336076722
Industrials,77,0.2204469437915527,0.13179459257863962,0.2786953202404311,0.09101819540309573,0.33239880585821474,5239881029120.0,0.14690072766179146
Consumer Staples,35,0.18722793116363778,0.09310941521930836,0.23133872155358234,0.05111848959551184,0.3307243819439393,3475067228160.0,0.138229306334274
Materials,28,0.17496463363844378,0.14934144499866847,0.2602881877661478,0.12546689475190234,0.37550934308918243,1201794620544.0,0.11094674276747934
Consumer Discretionary,49,0.1678408710196309,0.12597417339588965,0.25547701495239816,0.08735826934192138,0.35514719386180105,6537004611584.0,0.1295028415565085
