sub_industry,n,median,q1,q3,p10,p90,market_cap,iqr
Retail REITs,5,0.6355352458545724,0.627292630705879,0.7384207420795866,0.6163591415492929,0.8253458568690626,178625331200.0,0.1111281113737076
Multi-Family Residential REITs,6,0.5958649962968645,0.5711600392500935,0.6037699169177988,0.5615623351216724,0.6127188170729201,110965482496.0,0.03260987766770529
Oil & Gas Exploration & Production,7,0.5733511610632825,0.5088091695874215,0.6961505557730872,0.4512797982025582,0.736079989958057,465271384064.0,0.18734138618566565
Financial Exchanges & Data,9,0.5050862122897667,0.49669114690053345,0.5972568440218498,0.38223737507388983,0.6499480097269418,542217606144.0,0.1005656971213163
Transaction & Payment Processing Services,7,0.4391397822658452,0.2824216053859132,0.5950919572921374,0.2412625195670445,0.6592601631770447,1353678581760.0,0.31267035190622416
Multi-Utilities,12,0.41174962597786546,0.37728600274843227,0.4448836317412575,0.3430389960397432,0.4644152731533487,539100420096.0,0.06759762899282523
Pharmaceuticals,7,0.39850227664213533,0.37048014735852464,0.43028851254112355,0.33016390689091346,0.46962950737976117,2426560544768.0,0.05980836518259891
Electric Utilities,15,0.3961651518871804,0.3495819663003388,0.4363620823803469,0.3363107260124385,0.4699108128642353,716619421696.0,0.08678011608000813
Biotechnology,8,0.37009930513548883,0.3259940169835919,0.4594134397738451,-0.08366446360003355,0.47827230782507124,1235470936064.0,0.13341942279025315
Application Software,10,0.3443221699164046,0.29348304609201553,0.4204874435527357,0.21724114341278603,0.460231288212657,1106276020224.0,0.12700439746072018
Semiconductors,15,0.3372002745262284,0.2831528264459478,0.49403783728511963,0.2360829970724666,0.6216509985844137,10281183722496.0,0.21088501083917183
Semiconductor Materials & Equipment,5,0.33711546818406346,0.32931220551093765,0.3719469275342966,0.2183451493397746,0.4163041536200577,991910247936.0,0.04263472202335894
"Hotels, Resorts & Cruise Lines",8,0.31804201160412615,0.24406235374272972,0.42930233349622293,0.20209578690461055,0.61906954854871,564364960768.0,0.1852399797534932
Insurance Brokers,5,0.283804354961577,0.2787566908782577,0.3356659348014179,0.2331162207303266,0.3946896004098465,206963197952.0,0.05690924392316016
Life Sciences Tools & Services,8,0.2798507404838249,0.243092152207951,0.309613009205063,0.20247537432118745,0.31478225289427886,551953078272.0,0.06652085699711202
Health Care Equipment,17,0.27782973262732025,0.2507459459636716,0.3007859862768661,0.17507339657030743,0.36198026236160624,962719130624.0,0.05004004031319448
Systems Software,6,0.2707467852170756,0.15406198660961354,0.442088837340109,0.07983514070307968,0.5299189378298814,4438244026368.0,0.2880268507304955
Industrial Machinery & Supplies & Components,14,0.2558046892516325,0.219233988587559,0.26951733238611875,0.1725738919156762,0.2900942354384055,482184329216.0,0.050283343798559754
Electronic Equipment & Instruments,5,0.24981174851233523,0.23265218381946073,0.2716499438855192,0.2145590783640925,0.343289152605567,154389794816.0,0.038997760066058484
Property & Casualty Insurance,8,0.2374189523444845,0.18622159763998658,0.25536786243854925,0.17201562575285137,0.2963971098893529,523861428224.0,0.06914626479856267
Electrical Components & Equipment,5,0.23314388357460547,0.22110837749363613,0.3179942064008301,0.1744469708855747,0.3222395443915335,346366096384.0,0.09688582890719397
"Technology Hardware, Storage & Peripherals",8,0.2086045455259564,0.09831112197253494,0.3621356455305581,0.07654200258921233,0.3745718725746264,5562916708352.0,0.26382452355802316
Building Products,7,0.19398556163406294,0.1564693510327497,0.20193575215453521,0.11224982851859529,0.22145378549780714,270426037248.0,0.045466401121785516
Restaurants,6,0.19334441258002713,0.16585092085161987,0.31470822399928244,0.1536332099270555,0.44535221912426753,432796890112.0,0.14885730314766257
IT Consulting & Other Services,5,0.186489235665418,0.17706789929075095,0.214105980874293,0.15130242881024875,0.22868892840959992,379539048448.0,0.03703808158354205
Specialty Chemicals,9,0.1772562964934914,0.1643018092577181,0.22653119845864897,0.1485854884553611,0.2466271044742156,274886354432.0,0.06222938920093088
Packaged Foods & Meats,11,0.17173650491210646,0.1538101866824059,0.2085640888628513,0.10413609911295868,0.22374512699565194,250505035264.0,0.0547539021804454
Paper & Plastic Packaging Products & Materials,5,0.16181701006494192,0.1504296780811694,0.16254183147860224,0.14781791868316718,0.1908804245623173,98625026048.0,0.012112153397432851
Health Care Services,5,0.16168107669533968,0.045179932092218315,0.19602075976093575,0.042325266292317074,0.19944797718418295,264012683264.0,0.15084082766871743
Aerospace & Defense,12,0.14630869025956877,0.10454261959254274,0.1841904954954097,0.055034277676509216,0.2984905931306381,1352665052160.0,0.07964787590286695
Life & Health Insurance,5,0.1370975940639869,0.07981725391594417,0.27136311385351297,0.07757036559363932,0.30993988959859375,198548035584.0,0.19154585993756879
Consumer Staples Merchandise Retail,5,0.079782742081411,0.0598948158702496,0.08208273132565805,0.05214037439162926,0.10768995752544469,1383874541568.0,0.02218791545540845
Managed Health Care,5,0.025545745501710276,0.024684406934702956,0.041389461404635876,0.01538366432117396,0.05208891786435977,538737978368.0,0.01670505446993292
