symbol,name,sector,sub_industry,market_cap,fail_reasons,in_base,in_margin,in_returns
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4082107678720.0,dual_class_secondary,False,False,False
JPM,JPMorgan Chase,Financials,Diversified Banks,946899124224.0,ebitda_missing,True,False,True
INTC,Intel,Information Technology,Semiconductors,476013789184.0,negative_trailing_eps,True,True,False
ABBV,AbbVie,Health Care,Biotechnology,462489944064.0,non_positive_book; payout_above_earnings,True,True,False
BAC,Bank of America,Financials,Diversified Banks,437746040832.0,ebitda_missing,True,False,True
MRK,Merck & Co.,Health Care,Pharmaceuticals,374121889792.0,payout_above_earnings,True,True,False
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,332677349376.0,ebitda_missing,True,False,True
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",318031298560.0,non_positive_book,True,True,False
PM,Philip Morris International,Consumer Staples,Tobacco,292925800448.0,non_positive_book,True,True,False
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,292458364928.0,ebitda_missing,True,False,True
WFC,Wells Fargo,Financials,Diversified Banks,269952401408.0,ebitda_missing,True,False,True
C,Citigroup,Financials,Diversified Banks,225346846720.0,ebitda_missing,True,False,True
AXP,American Express,Financials,Consumer Finance,222838751232.0,ebitda_missing,True,False,True
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,187183284224.0,ebitda_missing,True,False,True
GILD,Gilead Sciences,Health Care,Biotechnology,185509691392.0,negative_trailing_eps,True,True,False
MCD,McDonald's,Consumer Discretionary,Restaurants,184659066880.0,non_positive_book,True,True,False
WELL,Welltower,Real Estate,Health Care REITs,171921276928.0,payout_above_earnings,True,True,False
PFE,Pfizer,Health Care,Pharmaceuticals,165404524544.0,payout_above_earnings,True,True,False
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,163540647936.0,ebitda_missing; payout_above_earnings,True,False,False
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",161846820864.0,pb_missing,True,True,False
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",149975547904.0,non_positive_book,True,True,False
COF,Capital One,Financials,Consumer Finance,132880826368.0,ebitda_missing,True,False,True
SBUX,Starbucks,Consumer Discretionary,Restaurants,121660801024.0,non_positive_book; payout_above_earnings,True,True,False
MO,Altria,Consumer Staples,Tobacco,116147380224.0,non_positive_book,True,True,False
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,112121028608.0,non_positive_book,True,True,False
MCK,McKesson Corporation,Health Care,Health Care Distributors,107820433408.0,non_positive_book,True,True,False
EQIX,Equinix,Real Estate,Data Center REITs,100570128384.0,payout_above_earnings,True,True,False
