symbol,name,sector,sub_industry,market_cap,price,price_to_earnings,earnings_yield,roe,payout_ratio,retention_ratio,sustainable_growth,priced_in_growth,growth_gap,ebitda_margin,net_margin,range_position,side
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,56961622016.0,203.42,38.820614,0.02575951014066908,0.03879096296622202,0.8424073238,0.15759267619999995,0.006113171666222016,0.07840822043669891,-0.0722950487704769,0.7250122595337043,0.09030671692065677,0.8368038740920094,priced above what the balance sheet can fund
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,44349317120.0,32.59,32.267326,0.030991102268592075,0.0549062230939124,0.9292989887999998,0.07070101120000016,0.0038819254939124084,0.07605400397913356,-0.07217207848522116,0.239273277569737,0.06841384841976067,0.8624161073825507,priced above what the balance sheet can fund
PLD,Prologis,Real Estate,Industrial REITs,132777959424.0,136.59,31.18493,0.032066770712648705,0.07615404620116191,0.954258858,0.04574114200000001,0.0034833730411619086,0.07556995317930808,-0.07208658013814617,0.6976099731671166,0.4408772229299362,0.6087768440709619,priced above what the balance sheet can fund
FE,FirstEnergy,Utilities,Electric Utilities,26785243136.0,46.29,24.754011,0.04039749356175046,0.08365392986211406,0.9975866433,0.00241335669999998,0.00020188677211406138,0.07182112789721229,-0.07161924112509822,0.3467639119611672,0.06920291507885074,0.36114044350580776,priced above what the balance sheet can fund
GPN,Global Payments,Financials,Transaction & Payment Processing Services,24559230976.0,92.81,43.985783,0.02273461859255751,0.024268491480531337,0.4882421913,0.5117578087,0.012419590020531335,0.07976942163334912,-0.06734983161281778,0.4391397822658452,0.05470350852278849,0.9115783410138251,priced above what the balance sheet can fund
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,16771617792.0,33.01,22.45578,0.04453196459886942,0.06355657652506393,0.895985622,0.10401437800000002,0.006610797775063927,0.06996061593050876,-0.06334981815544483,0.19295161104632663,0.08010135540745231,0.7844429795649306,priced above what the balance sheet can fund
D,Dominion Energy,Utilities,Multi-Utilities,58092691456.0,66.05,22.854671,0.04375473180077718,0.09105230611282919,0.9187577741999999,0.08124222580000007,0.007397292012829196,0.07031037068965026,-0.06291307867682107,0.4603454948053295,0.14028533863739592,0.5950991831971996,priced above what the balance sheet can fund
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,10310118400.0,117.94,23.635273,0.04230964457233052,0.13528534237789425,0.9359568108000001,0.06404318919999985,0.00866410477789424,0.07096065994245127,-0.062296555164557024,0.627292630705879,0.3266511794980499,0.7310110005238343,priced above what the balance sheet can fund
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,14632002560.0,96.89,23.689486,0.04221281964496824,0.0689422640913357,0.8433457016,0.1566542984,0.010800102011335709,0.07100423115976429,-0.06020412914842858,0.1174603415812756,0.04050827770667767,0.8179055633473584,priced above what the balance sheet can fund
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,8249809408.0,72.16,18.791668,0.05321507382952913,0.07201665653096893,0.9001208972,0.09987910280000001,0.007192959040968938,0.06605321677671189,-0.05886025773574295,0.157134782736221,0.04952219068736142,0.5866228070175438,priced above what the balance sheet can fund
BDX,Becton Dickinson,Health Care,Health Care Equipment,51077976064.0,187.52,32.442905,0.03082338033539228,0.0644823051449924,0.726721072,0.273278928,0.017621655224992407,0.07612947884907346,-0.05850782362408106,0.2722380169641984,0.07002293690273038,0.9152458511698824,priced above what the balance sheet can fund
BLDR,Builders FirstSource,Industrials,Building Products,6788260352.0,63.09,67.83871,0.014740846339796259,0.02498321238714592,0.0,1.0,0.02498321238714592,0.08336661914709168,-0.05838340675994576,0.07076842773113484,0.006925514536376604,0.008791704238052313,priced above what the balance sheet can fund
ABT,Abbott Laboratories,Health Care,Health Care Equipment,191155453952.0,110.47,35.181526,0.02842400866864047,0.10630735005639039,0.8126932506,0.18730674940000003,0.019912084176390392,0.07720919609911178,-0.05729711192272139,0.2507459459636716,0.11663418720014486,0.5133285302593659,priced above what the balance sheet can fund
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,76760801280.0,84.87,38.22973,0.02615765269595155,0.03140206064756408,0.321129732,0.678870268,0.02131792532756408,0.0782290562868218,-0.05691113095925771,0.08873054550530912,0.010822530604453873,0.8139658848614075,priced above what the balance sheet can fund
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,60027629568.0,89.97,53.236687,0.018784038909107924,0.04480500261032396,0.43654083340000005,0.5634591666,0.02524578943032396,0.08154718249090143,-0.056301393060577465,0.24000672747478402,0.06330346286539958,0.9671430918350583,priced above what the balance sheet can fund
CHTR,Charter Communications,Communication Services,Cable & Satellite,21425577984.0,158.97,3.80402,0.26287979558467095,0.29404317012003095,0.0,1.0,0.29404317012003095,-0.02829590801310193,0.3223390781331329,0.40104050172137284,0.1035434854689564,0.2721065014058645,can fund more than the price requires
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4122955743232.0,337.12,16.805584,0.05950403151714335,0.39413703207219697,0.0436945184,0.9563054816,0.37691540427219694,0.06322318581728549,0.31369221845491146,0.3883767987417271,0.5502382072852395,0.6110869328691111,can fund more than the price requires
DXCM,Dexcom,Health Care,Health Care Equipment,33845487616.0,89.69,35.59127,0.028096777664859948,0.36279874250061883,0.0,1.0,0.36279874250061883,0.07735645005081301,0.2854422924498058,0.2823794444622488,0.19136865108707773,0.9246361746361745,can fund more than the price requires
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,128643923968.0,221.38,11.063468,0.09038757105818898,0.33861880379642256,0.0199142424,0.9800857576,0.3318754668564226,0.04932559302381495,0.28254987383260766,0.16917346577423883,0.12775147594181951,0.5307603496618835,can fund more than the price requires
