sector,n,median,q1,q3,p10,p90,market_cap,iqr
Real Estate,10,0.3153593538711623,0.1931049974349613,0.41505800507640467,0.027688912987969997,0.7008516973772883,451716164608.0,0.22195300764144338
Information Technology,56,0.20539428703876983,0.10803871459447406,0.2781616443222893,0.07836593794248489,0.3739969687987642,23449985884672.0,0.17012292972781523
Financials,38,0.18950353125924216,0.12896371804562748,0.27068951107023365,0.07930658486083178,0.35136910149871026,3055290885120.0,0.14172579302460617
Utilities,30,0.1365768059321315,0.11369582973880943,0.15905616746687345,0.10108058298431687,0.19448363079589875,1311235670016.0,0.045360337728064026
Industrials,72,0.12811078542994825,0.07576584801072778,0.1689678403677484,0.040972478340887644,0.20263934137735162,5023025289728.0,0.09320199235702062
Health Care,44,0.12617853148035274,0.07718450241473657,0.1892532067785681,0.023185086820189126,0.273896567495359,4723979351040.0,0.11206870436383154
Communication Services,12,0.11207226310284618,0.09494679310009105,0.1904169514230567,0.08653045051254295,0.2940710652884213,6965893877760.0,0.09547015832296565
Energy,19,0.11135134850688537,0.08689189822984436,0.19234085198166717,0.05288874248152255,0.255679105295137,2340785377280.0,0.10544895375182281
Materials,16,0.10137807927078785,0.07494596979404598,0.14254784231935883,0.06389432248325272,0.23610368656458408,952812378624.0,0.06760187252531284
Consumer Discretionary,36,0.0922147541989802,0.04664872673622913,0.12462247168318483,0.026650678407074527,0.1800476415495731,5597734271488.0,0.07797374494695569
Consumer Staples,21,0.06841384841976067,0.029954273477080816,0.12091307028123767,0.020738371144814086,0.2187708478252788,2759133579776.0,0.09095879680415686
