Symbol,Company,Sector,Sub Industry,Market Cap,Revenue,Net Income,EBITDA,Book Equity,EBITDA Margin,Net Margin,ROE,P/E,P/B,Earnings Yield,Dividend Yield,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,In Screen,Funding Verdict
MMM,3M,Industrials,Industrial Conglomerates,87028162560.0,25179999732.0,2882888466.0,6488000000.0,2951995181.0,0.257665,0.114491,0.97659,30.1878,29.4811,0.033126,0.0183,0.552437,0.437085,0.075093,0.361992,False,Outside screen
AOS,A. O. Smith,Industrials,Building Products,8053941760.0,3804900165.0,487911760.0,783699968.0,1841833046.0,0.205971,0.128232,0.264906,16.507,4.3728,0.06058,0.0246,0.406071,0.157335,0.062739,0.094596,True,Funds more growth than the price implies
ABT,Abbott Laboratories,Health Care,Health Care Equipment,191155453952.0,46585002215.0,5433403869.0,11681000448.0,51110335055.0,0.250746,0.116634,0.106307,35.1815,3.7401,0.028424,0.0231,0.812693,0.019912,0.077209,-0.057297,True,Priced above what the balance sheet can fund
ACN,Accenture,Information Technology,IT Consulting & Other Services,114849284096.0,73100587988.0,7649275635.0,12943767552.0,31895032197.0,0.177068,0.10464,0.239827,15.0144,3.6009,0.066603,0.0347,0.521,0.114877,0.060029,0.054848,True,Funds more growth than the price implies
ADBE,Adobe Inc.,Information Technology,Application Software,111216525312.0,25198000417.0,6797250019.0,9729000448.0,11474631709.0,0.386102,0.269754,0.592372,16.362,9.6924,0.061117,0.0,0.0,0.592372,0.062497,0.529875,False,Outside screen
AMD,Advanced Micro Devices,Information Technology,Semiconductors,746139025408.0,41305000656.0,6350327766.0,9562000384.0,67243285342.0,0.231497,0.153742,0.094438,117.4961,11.0961,0.008511,0.0,0.0,0.094438,0.08617,0.008268,False,Outside screen
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10558892032.0,13054000053.0,1904881198.0,4070000128.0,4944129470.0,0.311782,0.145923,0.385281,5.5431,2.1356,0.180405,0.0477,0.264405,0.283411,0.008818,0.274594,True,Funds more growth than the price implies
AFL,Aflac,Financials,Life & Health Insurance,58777485312.0,18069000686.0,4647452140.0,6064999936.0,30257070660.0,0.335658,0.257206,0.153599,12.6472,1.9426,0.079069,0.021,0.265592,0.112804,0.054419,0.058385,True,Funds more growth than the price implies
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,42686803968.0,7372000804.0,1443664947.0,2099000064.0,7362973323.0,0.284726,0.195831,0.196071,29.5684,5.7975,0.03382,0.0068,0.201065,0.156648,0.074781,0.081867,True,Funds more growth than the price implies
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",109733453824.0,13159000018.0,2622681042.0,2760999936.0,7915346888.0,0.209818,0.199307,0.331341,41.8402,13.8634,0.0239,0.0,0.0,0.331341,0.079245,0.252096,True,Funds more growth than the price implies
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,15103177728.0,4322833937.0,390909158.0,1079897984.0,4752708270.0,0.249813,0.090429,0.08225,38.636,3.1778,0.025883,0.0,0.0,0.08225,0.078353,0.003897,True,Broadly consistent
ALGN,Align Technology,Health Care,Health Care Supplies,11305992192.0,4139531902.0,420555914.0,910062016.0,4220264747.0,0.219847,0.101595,0.099652,26.8834,2.679,0.037198,0.0,0.0,0.099652,0.073261,0.02639,True,Funds more growth than the price implies
ALLE,Allegion,Industrials,Building Products,13186654208.0,4288500007.0,647980300.0,1049299968.0,2118011052.0,0.244678,0.151097,0.305938,20.3504,6.226,0.049139,0.014,0.284906,0.218775,0.067887,0.150887,True,Funds more growth than the price implies
LNT,Alliant Energy,Utilities,Electric Utilities,17563944960.0,4429000127.0,819339623.0,1828999936.0,7529109143.0,0.41296,0.184994,0.108823,21.4367,2.3328,0.046649,0.0315,0.675256,0.03534,0.069008,-0.033668,True,Priced above what the balance sheet can fund
ALL,Allstate,Financials,Property & Casualty Insurance,65576181760.0,70137006105.0,12701055024.0,17116000256.0,31554399073.0,0.244037,0.181089,0.402513,5.163,2.0782,0.193684,0.0168,0.086739,0.367599,0.002842,0.364757,False,Outside screen
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4122955743232.0,445865983470.0,245332499434.0,173164003328.0,622454802583.0,0.388377,0.550238,0.394137,16.8056,6.6237,0.059504,0.0026,0.043695,0.376915,0.063223,0.313692,True,Funds more growth than the price implies
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2750293999616.0,775680027220.0,134181729372.0,168911994880.0,551784605598.0,0.21776,0.172986,0.243178,20.4968,4.9844,0.048788,0.0,0.0,0.243178,0.068045,0.175132,True,Funds more growth than the price implies
