Sector,Companies,Median EBITDA Margin,Q1,Q3,P10,P90,Market Cap,IQR
Real Estate,31,0.6024986304601219,0.4667536932624113,0.6412770973175792,0.261737721505988,0.6998460743681726,1232550880256.0,0.1745234040551678
Utilities,31,0.4006237043855359,0.3475579920093655,0.4600548248491646,0.3117818378535731,0.5065695299558207,1345687724032.0,0.112496832839799
Energy,19,0.3283875293250142,0.1865798186267065,0.5565893134881397,0.1007987350834685,0.6788335335167168,2340785377280.0,0.3700094948614331
Information Technology,67,0.2940280828340162,0.2198436722605001,0.3866418660986476,0.1375704215707262,0.4931072075384796,24573455622656.0,0.1667981938381474
Financials,41,0.2893614892736466,0.2026892406317058,0.4391397822658452,0.1691734657742388,0.5972568440218498,3135341078528.0,0.2364505416341393
Communication Services,17,0.2727935193923292,0.2120452038870067,0.3677741936713677,0.1347769348642667,0.3934422799335854,7151652993024.0,0.1557289897843609
Health Care,60,0.2721211077807179,0.1636111934473397,0.3232530270550119,0.0254596116450095,0.4073795520149766,6380209833984.0,0.1596418336076722
Industrials,77,0.2204469437915527,0.1317945925786396,0.2786953202404311,0.0910181954030957,0.3323988058582147,5239881029120.0,0.1469007276617914
Consumer Staples,35,0.1872279311636377,0.0931094152193083,0.2313387215535823,0.0511184895955118,0.3307243819439393,3475067228160.0,0.138229306334274
Materials,28,0.1749646336384437,0.1493414449986684,0.2602881877661478,0.1254668947519023,0.3755093430891824,1201794620544.0,0.1109467427674793
Consumer Discretionary,49,0.1678408710196309,0.1259741733958896,0.2554770149523981,0.0873582693419213,0.355147193861801,6537004611584.0,0.1295028415565085
