Symbol,Company,Sector,Market Cap,ROE,Payout Ratio,Sustainable Growth,Priced In Growth,Growth Gap,P/E
FANG,Diamondback Energy,Energy,56961622016.0,0.038791,0.842407,0.006113,0.078408,-0.072295,38.8206
KDP,Keurig Dr Pepper,Consumer Staples,44349317120.0,0.054906,0.929299,0.003882,0.076054,-0.072172,32.2673
PLD,Prologis,Real Estate,132777959424.0,0.076154,0.954259,0.003483,0.07557,-0.072087,31.1849
FE,FirstEnergy,Utilities,26785243136.0,0.083654,0.997587,0.000202,0.071821,-0.071619,24.754
GPN,Global Payments,Financials,24559230976.0,0.024268,0.488242,0.01242,0.079769,-0.06735,43.9858
BEN,Franklin Resources,Financials,16771617792.0,0.063557,0.895986,0.006611,0.069961,-0.06335,22.4558
D,Dominion Energy,Utilities,58092691456.0,0.091052,0.918758,0.007397,0.07031,-0.062913,22.8547
FRT,Federal Realty Investment Trust,Real Estate,10310118400.0,0.135285,0.935957,0.008664,0.070961,-0.062297,23.6353
SWK,Stanley Black & Decker,Industrials,14632002560.0,0.068942,0.843346,0.0108,0.071004,-0.060204,23.6895
EMN,Eastman Chemical Company,Materials,8249809408.0,0.072017,0.900121,0.007193,0.066053,-0.05886,18.7917
BDX,Becton Dickinson,Health Care,51077976064.0,0.064482,0.726721,0.017622,0.076129,-0.058508,32.4429
BLDR,Builders FirstSource,Industrials,6788260352.0,0.024983,0.0,0.024983,0.083367,-0.058383,67.8387
ABT,Abbott Laboratories,Health Care,191155453952.0,0.106307,0.812693,0.019912,0.077209,-0.057297,35.1815
GM,General Motors,Consumer Discretionary,76760801280.0,0.031402,0.32113,0.021318,0.078229,-0.056911,38.2297
CTVA,Corteva,Materials,60027629568.0,0.044805,0.436541,0.025246,0.081547,-0.056301,53.2367
HPE,Hewlett Packard Enterprise,Information Technology,68633468928.0,0.055983,0.54252,0.025611,0.08071,-0.055099,48.4392
SRE,Sempra,Utilities,54790311936.0,0.069006,0.757753,0.016716,0.071472,-0.054755,24.287
CVS,CVS Health,Health Care,124354289664.0,0.060451,0.704079,0.017889,0.072552,-0.054663,25.7905
COO,Cooper Companies (The),Health Care,13599485952.0,0.028151,0.0,0.028151,0.08232,-0.054169,58.5966
RVTY,Revvity,Health Care,14611123200.0,0.033188,0.133985,0.028741,0.082611,-0.05387,60.9023
BG,Bunge Global,Consumer Staples,23603755008.0,0.055875,0.630187,0.020663,0.073005,-0.052342,26.4784
CARR,Carrier Global,Industrials,47464636416.0,0.088484,0.68606,0.027779,0.078981,-0.051202,40.8369
MDT,Medtronic,Health Care,117988630528.0,0.096537,0.785878,0.020671,0.071791,-0.05112,24.7131
ES,Eversource Energy,Utilities,26532970496.0,0.088732,0.817836,0.016164,0.065405,-0.049241,18.2961
SNPS,Synopsys,Information Technology,79715090432.0,0.035304,0.0,0.035304,0.08379,-0.048486,72.4686
KR,Kroger,Consumer Staples,35668324352.0,0.185906,0.842836,0.029218,0.076706,-0.047488,33.8488
AJG,Arthur J. Gallagher & Co.,Financials,67791937536.0,0.065704,0.465415,0.035124,0.079654,-0.04453,43.4967
KMI,Kinder Morgan,Energy,71190863872.0,0.108321,0.763958,0.025568,0.068323,-0.042755,20.7597
EVRG,Evergy,Utilities,18622908416.0,0.087731,0.708035,0.025614,0.068327,-0.042713,20.7635
PKG,Packaging Corporation of America,Materials,20808015872.0,0.14912,0.779458,0.032887,0.074874,-0.041987,29.7503
KMX,CarMax,Consumer Discretionary,8717598720.0,0.037341,0.0,0.037341,0.078206,-0.040865,38.1553
PPL,PPL Corporation,Utilities,25992898560.0,0.084513,0.676493,0.02734,0.067982,-0.040642,20.4379
MDLZ,Mondelez International,Consumer Staples,79705440256.0,0.131231,0.77319,0.029764,0.070328,-0.040564,22.8755
DTE,DTE Energy,Utilities,28310382592.0,0.10842,0.735057,0.028725,0.069063,-0.040338,21.4929
PNW,Pinnacle West,Utilities,11802185728.0,0.08941,0.69986,0.026836,0.066017,-0.039181,18.763
ETR,Entergy,Utilities,49812910080.0,0.10009,0.652513,0.03478,0.073518,-0.038738,27.3018
ADM,Archer Daniels Midland,Consumer Staples,41149706240.0,0.075654,0.567662,0.032708,0.070499,-0.037791,23.0757
SO,Southern Company,Utilities,101588557824.0,0.120647,0.734143,0.032075,0.068853,-0.036778,21.2795
WMB,Williams Companies,Energy,91933270016.0,0.233358,0.835444,0.038401,0.074972,-0.036572,29.9442
AEP,American Electric Power,Utilities,67271184384.0,0.097914,0.661753,0.033119,0.068988,-0.035868,21.4159
NI,NiSource,Utilities,19733899264.0,0.094151,0.641327,0.033769,0.069441,-0.035672,21.8883
AWK,American Water Works,Utilities,27720708096.0,0.0983,0.630969,0.036276,0.071386,-0.03511,24.175
XEL,Xcel Energy,Utilities,47166136320.0,0.094736,0.645455,0.033588,0.068248,-0.03466,20.6877
HUM,Humana,Health Care,48148598784.0,0.066125,0.34109,0.04357,0.078126,-0.034556,37.8989
CVX,Chevron Corporation,Energy,415428345856.0,0.107231,0.687571,0.033502,0.067944,-0.034442,20.4027
